            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458795.500000000, A.D. 2019-Nov-08 00:00:00.0000,  2.901644455360330E-01,  1.512379290856354E-01, -1.426004354576091E-02, -1.849266261813690E-02,  2.618840357299750E-02,  3.836399497766500E-03,  1.891618176052555E-03,  3.275235342525361E-01, -4.457513258906834E-03,
2458796.500000000, A.D. 2019-Nov-09 00:00:00.0000,  2.704607020267674E-01,  1.767438143978757E-01, -1.036831664432046E-02, -2.090240776828239E-02,  2.477759197227552E-02,  3.942174777573200E-03,  1.866974774740436E-03,  3.232566615845055E-01, -4.067564987528197E-03,
2458797.500000000, A.D. 2019-Nov-10 00:00:00.0000,  2.483908984497113E-01,  2.007013882111999E-01, -6.386057652006595E-03, -2.321825892448477E-02,  2.309182827240011E-02,  4.016869111320005E-03,  1.844732265845864E-03,  3.194054905522012E-01, -3.626406546137985E-03,
2458798.500000000, A.D. 2019-Nov-11 00:00:00.0000,  2.240688774174187E-01,  2.228370070406807E-01, -2.346070575731614E-03, -2.539998875788431E-02,  2.113492902688074E-02,  4.057104098348236E-03,  1.825179825615791E-03,  3.160200904706802E-01, -3.136575557896882E-03,
2458799.500000000, A.D. 2019-Nov-12 00:00:00.0000,  1.976494438971713E-01,  2.428845944328382E-01,  1.715701217105887E-03, -2.740616798055011E-02,  1.891835206652959E-02,  4.060015478200746E-03,  1.808587427683575E-03,  3.131472058255219E-01, -2.602200508370858E-03,
2458800.500000000, A.D. 2019-Nov-13 00:00:00.0000,  1.693287033744248E-01,  2.605936343063031E-01,  5.760797148064938E-03, -2.919594880753205E-02,  1.646182656428718E-02,  4.023468222509216E-03,  1.795196465212312E-03,  3.108286325472805E-01, -2.029049107309486E-03,
2458801.500000000, A.D. 2019-Nov-14 00:00:00.0000,  1.393424706982811E-01,  2.757375480427667E-01,  9.749069921687116E-03, -3.073111608967027E-02,  1.379346770820790E-02,  3.946254066806850E-03,  1.785210417111777E-03,  3.090996019170461E-01, -1.424461140762486E-03,
2458802.500000000, A.D. 2019-Nov-15 00:00:00.0000,  1.079625647742459E-01,  2.881218801836052E-01,  1.363969432237790E-02, -3.197823033858541E-02,  1.094926611423299E-02,  3.828246379333150E-03,  1.778786273869445E-03,  3.079872959951058E-01, -7.971514332555006E-04,
2458803.500000000, A.D. 2019-Nov-16 00:00:00.0000,  7.549100643363399E-02,  2.975916417378847E-01,  1.739229952881703E-02, -3.291063860612461E-02,  7.971914910339495E-03,  3.670488785637297E-03,  1.776027475340534E-03,  3.075096248371953E-01, -1.568853151698184E-04,
2458804.500000000, A.D. 2019-Nov-17 00:00:00.0000,  4.225237107543762E-02,  3.040371691100022E-01,  2.096814940570665E-02, -3.351011563012261E-02,  4.909031772887080E-03,  3.475200434427437E-03,  1.776979042856121E-03,  3.076743836451462E-01,  4.859514239286592E-04,
2458805.500000000, A.D. 2019-Nov-18 00:00:00.0000,  8.584773584170275E-03,  3.073979630099744E-01,  2.433128319966709E-02, -3.376792870551818E-02,  1.810929785089947E-03,  3.245691530954096E-03,  1.781625406981901E-03,  3.084788766549753E-01,  1.120848040926278E-03,
2458806.500000000, A.D. 2019-Nov-19 00:00:00.0000, -2.516986419299236E-02,  3.076641660175019E-01,  2.744952909384782E-02, -3.368519351865081E-02, -1.271833526966976E-03,  2.986195700584375E-03,  1.789891162489817E-03,  3.099100478561684E-01,  1.737677801284977E-03,
2458807.500000000, A.D. 2019-Nov-20 00:00:00.0000, -5.867552981353528E-02,  3.048755881734375E-01,  3.029531591908577E-02, -3.327248994684569E-02, -4.290864860580300E-03,  2.701637921380931E-03,  1.801644669516946E-03,  3.119451045130148E-01,  2.327165874794081E-03,
